id,value
id_0,21.243672893307522
id_1,15.935765153678064
id_2,27.26844721680395
id_3,27.932464612122967
id_4,28.944578546035025
id_5,27.193347633150644
id_6,20.011725667339512
id_7,17.75820084516105
id_8,10.814181033867493
id_9,-34.146211717577714
id_10,17.644119320774337
id_11,19.41370856909893
id_12,5.746135768840615
id_13,30.088065573571363
id_14,33.37949764045955
id_15,19.083723387201488
id_16,25.264558994177325
id_17,28.928320695070006
id_18,21.427097606829072
id_19,23.240376678574883
id_20,11.149353673865342
id_21,36.1869932217556
id_22,23.037986844857233
id_23,19.967902491536954
id_24,27.199752559006015
id_25,18.316785250359047
id_26,11.475884982337679
id_27,97.10987595707198
id_28,18.726292240127083
id_29,12.576418274813436
id_30,30.282542552781734
id_31,-3.8981505434660493
id_32,48.506137146508856
id_33,19.983838512740988
id_34,16.393181387531843
id_35,15.480888026465946
id_36,36.19572587427803
id_37,-1.2282825139710831
id_38,45.39348713265845
id_39,21.096920383439127
id_40,23.60940882814381
id_41,21.266671693418672
id_42,31.49296775212727
id_43,46.14965073451622
id_44,26.118972767371638
id_45,12.541423539516668
id_46,15.088936749667738
id_47,24.34370634214382
id_48,49.20950557098241
id_49,-9.731860945359417
id_50,25.711218396894097
id_51,18.130014599134974
id_52,38.4293327691303
id_53,-0.33681538958293844
id_54,21.983294234382985
id_55,49.57607200391886
id_56,25.64735556612652
id_57,29.504544165800766
id_58,26.418838577526355
id_59,21.848105588427543
id_60,37.30598406160159
id_61,8.00193933196311
id_62,25.369325724566256
id_63,33.915339296669345
id_64,32.76706887195872
id_65,24.837947110453243
id_66,20.0092086560164
id_67,-145.86007199102337
id_68,27.873071992913363
id_69,27.31754778264381
id_70,28.241256916007988
id_71,30.107738447229437
id_72,18.054077707316427
id_73,20.303705814333156
id_74,27.60512369655911
id_75,23.59790344678033
id_76,42.797672556680325
id_77,23.57812503986349
id_78,49.545237987249045
id_79,22.20728776825654
id_80,28.751315375446907
id_81,36.62845000112961
id_82,15.270263508788657
id_83,4.513073336191256
id_84,14.385018705617572
id_85,29.950819625054482
id_86,19.3641864718574
id_87,21.892083452660003
id_88,8.49678885895553
